id,featur_typ_code,point_id_field,utm_zone,utm_easting,utm_northing,height,length,strsrvy_rchsrvy_id,sitesrvy_id,comments
6846,F,260867,,,,10.0,,145807,,NID 1003- 10 m falls
6847,F,260903,9,545961,6043363,200.0,,145824,,NID 9983--200 m falls
6849,F,261159,9,550174,6047592,7.0,,145950,,NID 9957--7 m falls
6850,F,261657,9,562862,6046504,25.0,,146198,,NID 9971--25 m falls
6851,F,262131,9,540863,6046376,50.0,,146434,,NID 9979--50 m falls
6852,F,262183,9,544040,6047269,7.0,,146459,,NID 9991--7 m falls
6853,F,262185,9,544041,6047274,3.0,,146459,,NID 9945--3 m falls
6854,F,262197,9,542724,6046377,7.0,,146464,,NID 9942--7 m falls
6855,F,262199,,,,,,146464,,NID 9946--numerous falls
6856,F,262199,9,543123,6046400,10.0,,146465,,NID 9946--numerous falls greater than or equal to 10 m
6857,F,262218,9,545243,6047347,6.0,,146472,,NID 9981--6 m falls
6858,F,262222,9,546251,6042862,10.0,,146473,,NID 9977--10 m falls
6859,F,262224,9,546251,6044664,5.0,,146473,,NID 9976--5 m falls
6860,F,262226,9,546285,6044549,5.0,,146473,,NID 9958--5 m falls
6861,F,262228,9,545682,6046594,5.0,,146473,,NID 9975--5 m falls
6862,F,262230,9,545599,6046730,3.0,,146473,,NID 9960--3 m falls
6863,F,262232,9,545570,6046886,2.0,,146473,,NID 9959--2 m falls
6864,F,262234,9,545350,6047138,5.0,,146473,,NID 9974--5 m falls
6865,F,262236,9,545225,6047399,7.0,,146473,,NID 9980--7 m falls
6866,F,262238,9,546418,6043999,20.0,,146473,,NID 9944--20 m falls
6867,F,262240,9,546295,6043387,7.0,,146473,,NID 9943--7 m falls
6868,F,262256,9,547669,6046283,2.0,,146480,,NID 9950--2 m falls
6869,F,262258,9,547680,6046259,3.0,,146480,,NID 9949--3 m falls
6870,F,262260,9,547688,6046238,5.0,,146480,,NID 9948--5 m falls
6872,F,262274,9,549826,6045396,3.0,,146485,,NID 9938--3 m falls
6875,F,262286,,,,20.0,,146490,,NID 9952-- 20 m falls
6876,F,262297,9,551378,6041498,6.0,,146493,,NID 9992--6 m falls
6877,F,262317,9,550344,6047472,2.0,,146502,,NID 9982--2 m falls
6878,F,262319,9,550327,6047665,6.0,,146502,,NID 9978--6 m falls
6879,F,262355,9,555634,6043523,5.0,,146519,,NID 9988--5 m falls
6880,F,262357,9,555759,6042297,5.0,,146519,,NID 9993--5 m falls
6881,F,262395,9,554005,6048052,7.0,,146537,,NID 9972--7 m falls
6882,F,262397,9,554228,6047274,3.0,,146537,,NID 9956--3 m falls; No photo due to winds
6886,F,262434,9,555373,6048694,10.0,,146552,,NID 9963--10 m falls
6888,F,262452,9,560344,6050960,2.0,,146559,,NID 9955--2 m falls; No photograph
6889,F,262454,9,558810,6048122,3.0,,146559,,NID 9986--3 m falls
6890,F,262456,9,560163,6050033,7.0,,146559,,NID 9985--7 m falls
6891,F,262458,9,560356,6050841,4.0,,146559,,NID 9984--4 m falls
6892,F,262474,9,560524,6049580,3.0,,146566,,NID 9968--3 m falls
6893,F,262476,9,560620,6049621,3.0,,146566,,NID 9954--3 m falls
6895,F,262530,9,562264,6045114,4.0,,146591,,NID 9966--4 m falls
6896,F,262536,9,561655,6045142,5.0,,146593,,NID 9969--5 m falls
6897,F,262538,9,561682,6045222,5.0,,146593,,NID 9965--5 m falls
6898,F,262548,9,562568,6047157,5.0,,146597,,NID 9970--5 m falls
6900,F,262568,9,547017,6042959,1.5,,,7835,NID 9947--1.5 m falls; impediment to fish passage
6901,F,262575,9,551212,6042381,7.0,,,7840,upstream barrier at reach break
6902,F,262587,9,559244,6044710,7.0,,,7850,Falls; impassable barrier
6903,F,262594,9,560162,6049108,4.0,,,7855,NID 9941--4 m falls
6904,F,262484,9,554028,6047165,2.8,,,7858,Suspended culvert
6905,F,262599,9,553994,6047173,1.0,,,7858,Falls at upstream end of site
6906,F,262623,9,547668,6046305,7.0,,,7880,Bedrock falls--permanent barrier
6907,F,262626,9,548371,6046622,1.7,,,7881,125 m down from road
6909,F,262634,9,549645,6042267,10.0,,,7885,Waterfall at upstream end of site
6910,F,262638,9,550515,6046652,1.5,,,7887,NID 9940--1.5 m falls
6913,F,262656,9,558997,6047231,2.0,,,7899,NID 9989--2 m falls; obstruction to fish
7614,F,267071,10,315045,5570700,6.0,,155210,,combination of chutes and straight drops
7669,F,274625,10,596158,6063913,2.0,2,,8697,1.5m plunge pool below falls
7671,F,276331,11,618752,5545927,10.0,4,,8718,Waterfall at reach break.
7672,F,276351,11,622662,5541491,3.0,5,,8727,Waterfall at reach break.
7673,F,276359,11,621401,5539267,5.0,10,,8730,Waterfall is an upstream barrier.
7677,D,276475,10,325741,5558796,0.8,6,156363,,collapsed bridge crossing; 2.8m wide X 6 m long
7680,F,281355,10,345844,5622188,5.0,,158798,,Photo taken from bridge.
7683,F,281803,10,345245,5614462,15.0,,159019,,Located at top end of cascades.  Appeared vertical
7689,F,282175,10,340106,5611581,6.0,,,8738,barrier to u/s fish migration.  UTM same as site
7696,F,282213,10,333906,5608255,5.0,,,8750,directly below cascade (NID 117).  Height estimated as bottom was not visible.  Only crest of falls visible due to danger associated with getting close to the edge.  Barrier to u/s fish migration.
7699,F,282225,10,336739,5612560,30.0,,,8753,cascading.  Fish barrier.  Approx. 150m u/s of old logging road.
7700,F,282235,10,343396,5605058,1.3,,,8757,5m u/s of confluence w/ 61000-4170
7705,F,282271,10,341467,5615339,2.0,,,8770,cascading falls
7708,F,282281,10,340498,5617420,5.0,,,8772,Barrier to upstream fish migration.  u/s shot
7855,F,293143,10,529713,5930081,5.7,10,,9506,FALLS OVER R AT U/S OF REACH
7858,F,293182,10,538550,5931380,2.1,,,9527,"FALLS, PICTURES 12 AND 13 AS WELL"
7868,F,293225,10,536213,5932593,4.7,1,,9544,FALLS 15 M U/S FROM GOV CRK
7871,F,293252,10,536213,5932593,3.0,,,9558,"TOP HALF OF THE FALLS, PHOTOS 8 AND 9 AS WELL"
7977,F,304469,10,680724,5948935,2.0,,,9888,Waterfall
8028,F,308528,11,363940,5638928,2.5,,182988,,
8030,F,308532,11,363902,5638996,6.0,,182988,,
8032,F,308536,11,363888,5639065,,,182988,,
8036,F,308550,11,364236,5641149,1.6,,182991,,
8039,F,308556,11,364236,5641179,3.5,,182991,,
8046,F,308578,11,364407,5643717,2.0,,182995,,
8051,F,308602,11,365003,5641550,6.0,,183002,,
8052,F,308604,11,365015,5641571,2.0,,183002,,
8156,F,309166,11,367836,5651161,5.0,,183161,,Falls into limestone cave.
8181,F,309340,11,367987,5652715,10.0,,183223,,
8182,F,309342,11,367853,5652753,10.0,,183223,,
8222,F,309528,11,368808,5652785,4.0,,,10088,Bedrock controlled.  Fish barrier.
8232,F,309556,11,361754,5647606,6.0,,,10092,
8240,F,310467,11,423712,5517760,50.0,0,183708,,Middle of reach 3.
8242,F,310831,11,423913,5519112,8.8,12,,10101,Bottom of reach 40m below road.
8243,F,310835,11,424197,5518006,1.1,0,,10102,Start of site.
8245,F,310839,11,424211,5518013,1.6,0,,10102,20m into site.
8246,F,310841,11,424224,5518020,2.3,0,,10102,76m into site.
8247,F,310843,11,424395,5518066,3.2,0,,10102,210m into site.
8641,F,338650,11,346470,5842670,2.0,,,10563,Waterfall
8643,F,338665,11,346114,5836550,75.0,,,10574,200m upstream of site (60% slope)
8645,F,338690,11,342351,5835356,50.0,50,,10595,Impassable to fish
9183,F,368522,10,521380,5892729,0.8,0,,11155,"40m upstream from confluence with ILP1812, 0.15m plunge pool."
9184,F,368524,10,521355,5892756,0.7,0,,11155,60m upstream from confluence with ILP 1812. Debris cascade with boulders and LOD right side vertical with 20cm plunge pool. Fish must pass (unlikely).  Left side fish must pass boulders and LOD to enter stream (unlikely).
9185,F,368522,10,521380,5892729,0.8,0,,11155,"40m upstream from confluence with ILP1812, 0.15m plunge pool."
9194,F,368608,10,513099,5915800,3.0,,,11215,Falls on north end of block.
9195,F,368610,10,513096,5915298,20.0,2,,11215,"bottom of falls at R1, R2 reach break"
9196,F,368610,10,513096,5915298,20.0,2,,11215,"falls at R1, R2 reach break"
9197,F,368610,10,513096,5915298,20.0,2,,11215,"falls at R1, R2 reach break"
9199,F,368649,10,509755,5913992,8.0,0,,11241,"8m drop over ""bed-clay""."
9202,F,368666,10,508764,5913537,1.7,1,,11252,Boulder/debris jam 70m upstream
9204,F,368705,10,509355,5910490,4.0,,,11275,Waterfall 10m u/s from Fraser
9206,F,368719,10,506312,5907035,0.8,0,,11285,10cm plunge pool - barrier 20m upstream
9207,F,368719,10,506312,5907035,0.7,0,,11285,10cm plunge pool - barrier 30m upstream
9212,F,368781,10,517652,5905071,4.4,,,11331,4.5 m bedrock waterfall barrier
9214,F,368798,10,516146,5898512,11.0,,,11339,Fish barrier 320m d/s of road.
9215,F,368800,10,516123,5898512,4.0,,,11339,20m d/s of first falls.
9218,F,368813,10,516259,5896421,14.5,,,11343,2 steps 5.8m and 8.7m
9219,F,368813,10,516259,5896421,14.5,,,11343,2 steps 5.8m and 8.7m
9221,F,368829,10,520448,5890021,1.5,0,,11351,1.5m falls
9229,F,368845,10,522350,5886944,9.0,4,,11360,Fall/cascade at confluence with Fraser River.
9230,F,368845,10,522350,5886944,9.0,4,,11360,Fall/cascade at confluence with Fraser River.
9231,F,368845,10,522350,5886944,9.0,4,,11360,Fall/cascade at confluence with Fraser River.
9232,F,368845,10,522350,5886944,9.0,4,,11360,Fall/cascade at confluence with Fraser River.
9234,F,368895,10,531109,5890395,21.0,,,11388,Vertical drop over large cutbank
9236,F,368922,10,511650,5902205,10.0,5,,11404,2.5m and 10m falls within 20m section
9238,F,368942,10,511314,5912964,3.0,0,,11419,246m upstream from road.
9239,F,368944,10,511314,5912964,8.0,0,,11419,303m upstream from road.
9242,F,368956,10,510690,5915148,6.0,0,,11427,6 m falls in reach 1.2 are u/s limit of fish
9243,F,368956,10,510690,5915148,6.0,0,,11427,located d/s in Reach 1.2 (not surveyed)
9342,F,74286,11,405477,5575096,,,212388,,fish barrier
9829,F,375936,11,492929,5582624,15.0,,,11889,Falls
9841,F,375978,11,487335,5574960,1.8,1,,11898,Falls @ 15 m from reach.
9843,F,376252,11,419014,5473599,10.0,,223041,,
9844,F,376272,11,417420,5472826,2.5,0,223050,,50m from mouth.
9845,F,376274,11,417415,5472785,3.0,0,223050,,100m from mouth.
9847,F,376386,11,419074,5473598,10.0,0,,11913,60m above mouth.
9848,F,376392,11,413229,5472345,1.9,0,,11915,50m below trib -49700.
9850,F,376396,11,413290,5472393,2.5,0,,11915,140m below trib -49700.
9964,F,378776,9,604072,5697357,50.0,,,12081,"Falls barrier, about 150m from lake."
9965,F,378778,9,604072,5697357,50.0,,,12081,"Top of falls, downstream from lake."
9968,D,378791,9,615126,5825432,10.0,75,,12088,Boulder obstruction. Also roll 2 frame 9
9978,F,378834,9,587425,5763901,3.0,,,12111,"3 m falls, no GPS coverage (photo portrait)."
9989,F,379033,10,518550,6156390,1.0,1,,12123,Photo of 1.0m waterfall (0.3m long)
9991,F,379044,10,593538,6059924,7.9,2,,12126,173m d/s of lake - significant barrier to fish.
9992,F,379046,10,593624,6059888,1.4,0,,12126,160m d/s of Tlooki Lake
9997,F,380497,11,503405,5515764,2.1,1,,12165,Falls created by new channel.
10000,F,380511,11,499160,5517307,3.0,2,,12169,Debris created waterfall. May not be permanant migration barrier.
10002,F,380531,11,494546,5632571,15.0,5,,12177,15M FALLS AT TOP OF REACH 14
10003,F,380539,11,489247,5632584,3.0,2,,12180,
10004,F,380541,11,489310,5632621,1.5,1,,12180,
10036,F,57743,10,321279,6109641,4.0,,226016,,Falls noted in 1996 survey(Tyerman 1997)  Please note this photo is only present in Tyerman 1997and was not included in this report.
10249,D,395613,,,,5.0,40,232348,,man made obstruction
10250,D,395615,,,,6.0,45,232348,,man made obstruciton
10266,F,395671,,,,9.0,,232362,,falls below site
10276,F,395671,10,692422,5509449,9.0,,,12638,falls below site
10278,F,395707,10,691266,5512089,2.0,,,12641,2m falls 104m above road
10294,D,395613,10,683976,5513759,5.0,40,,12664,man made obstruction
10295,D,395615,10,684102,5513526,6.0,45,,12664,man made obstruction
10303,F,395815,,,,0.6,4,,12695,Falls (bedrock) at 103m from lake; length 3.5m
10392,D,398867,10,640565,5744012,,,,12881,Barrier to fish passage
10964,F,406271,10,374824,6349287,1.7,,,13530,0.5m pool beneath. 50m up from bottom of site.
11084,F,408061,10,424747,6380586,10.0,,,13914,Impasse 1100 m d/s of site
11085,F,408063,10,418143,6380586,15.0,,,13914,Impasse 5 km u/s of site
11086,F,408069,10,461980,6404627,60.0,,,13918,Impassable falls u/s of site
11087,F,408076,10,438150,6360657,25.0,,,13923,Impassable falls 1.5 km upstream of site
11089,F,408089,10,431756,6373071,50.0,,,13932,Third impassable barrier.
11090,F,408092,10,440956,6371608,15.0,40,,13933,Lower impassable barrier
11091,F,408092,10,440378,6371344,20.0,50,,13933,Second impassable barrier
11092,F,408096,10,448875,6370320,40.0,,,13934,Impassable barrier 1200 m u/s of site
11093,F,408099,10,450060,6363567,6.0,,,13935,Impassable falls
11094,F,408103,10,461093,6357348,50.0,,,13937,Impassable barrier
11095,F,408106,10,453540,6352031,5.0,,,13938,Impassable falls u/s of site
11096,F,408111,10,445280,6381028,5.0,,,13941,Lower impassable falls immediately upstream of site
11097,F,408122,10,456625,6395499,7.0,,,13950,Impassable falls at top of site
11098,F,408126,10,447296,6386866,10.0,,,13952,Impassable falls
11100,F,408132,10,431055,6386701,50.0,,,13954,Impassable falls 750 m u/s of mouth
11102,F,408210,,,,3.0,1,,13971,Height estimated from helicopter.  This was judged to be an obstruction to fish passage but not a barrier.
11106,F,408231,,,,15.0,3,,13984,Judged to be definit barrier to fish passage.  Falls height was estimated from helicopter.  This barrier is viewable on video overflight coverage.
11109,F,408251,,,,20.0,5,,13999,Definte barrier to fish passage.  Barrier was observed from air only.  Height is aerial estimate.
11112,F,408263,,,,2.0,10,,14005,The falls are barriers to upstream fish passage.
11131,F,409014,10,555656,5632535,7.0,5,239425,,fish barrier
11132,F,409072,10,540657,5629241,2.0,,239453,,
11133,F,409074,10,540346,5628955,20.0,,239453,,
11140,F,409146,10,514430,5636114,2.0,,239482,,
11142,D,409152,10,513800,5633996,,,239483,,Dam raises water level 1.2m.
11144,F,409912,10,554125,5626520,50.0,,239861,,fish barrier
11160,F,411328,10,539191,5632738,18.0,,240553,,fish barrier
11193,F,414318,10,537999,5632434,,,242015,,
11194,F,414320,10,537899,5632702,6.0,,242015,,
11205,F,414956,10,542600,5627639,40.0,,242322,,
11207,F,415004,10,542894,5628199,10.0,,242344,,"2 falls on Falls Creek, aerial assessment"
11209,F,415106,10,548532,5625405,15.0,,242393,,"300m from mouth, aerial assessment"
11210,F,415108,10,548521,5625629,15.0,,242393,,"fish barrier, aerial assessment"
11212,F,415798,10,525005,5636871,,,242736,,Just u/s of reach# 1.
11222,F,417008,10,529432,5642019,10.0,,243331,,"fish barrier, aerial assessment"
11227,F,417536,10,532172,5628368,20.0,,243590,,"series of falls acting as a fish barrier, aerial assessment"
11240,F,419872,10,544113,5627106,16.0,,244745,,"200m from mouth, aerial assessment"
11244,F,421210,10,526194,5636518,1.5,,245410,,100m from mouth.
11245,F,421212,10,526181,5636470,2.0,,245410,,150m from mouth.
11248,F,422070,10,505731,5643828,15.0,,245836,,"fish barrier, aerial assessment"
11249,F,423610,10,501024,5643868,30.0,,246605,,"fish barrier, aerial assessment"
11256,F,424350,10,567918,5630370,2.5,2,,14056,"Fish barrier, water over bedrock - 100m u/s from road"
11258,F,424358,10,511220,5644263,9.0,,,14060,fish barrier @ d/s end of reach
11261,F,424368,10,484304,5642617,20.0,10,,14065,fish barrier
11264,F,424380,10,539835,5623896,8.0,1,,14071,fish barrier (gradient:45%)
11268,F,424398,10,491382,5637574,0.6,,,14080,"barrier, 60m u/s from mouth"
11275,D,424420,10,503496,5636966,0.0,2,,14088,"fish barrier (also, LP14, frame 05)"
11277,D,424428,10,536780,5623401,0.0,200,,14092,fish barrier @ 470m u/s
11287,F,424478,10,490389,5653779,20.0,,,14122,"fish barrier, aerial assessment"
11293,F,424503,10,540516,5625980,12.0,,,14135,barrier 400m u/s from start of site (no photo)
11294,F,424509,10,549134,5628330,3.0,,,14139,"barrier, bedrock falls @ 300m u/s from start, no photo"
11295,F,424511,10,549135,5628450,2.0,,,14139,"barrier, bedrock falls @ 310m u/s from start, no photo"
11297,F,424515,10,549173,5628699,5.0,,,14139,"barrier, bedrock falls @ 450m u/s"
11307,D,424551,10,512846,5632788,0.0,1,,14154,Concrete water diversion
11311,F,424579,10,521955,5632573,20.0,50,,14175,no photo taken
11312,F,424582,10,531256,5633340,30.0,,,14176,"barrier, permanent (aerial estimate of height)"
11315,F,424596,10,528599,5631555,5.0,7,,14184,fish barrier
11320,F,424625,10,507525,5648586,8.0,8,,14203,fish barrier (gradient 50%)
11450,F,435435,11,540576,5578566,5.0,,,14565,Impassable falls.
11456,F,435479,11,538469,5579652,2.0,,,14581,Impassable falls.
11550,F,435698,10,477807,6133728,0.1,16,,14696,BD submerged with water flow over top.
11558,F,437301,9,529471,6074892,10.0,0,,14713,Falls downstream in reach 1.
11559,F,437305,9,526311,6074909,100.0,60,,14715,"Fall downstream in reach 1, barrier to fish."
11562,F,437322,9,533397,6070826,5.0,0,,14726,Falls in reach 1.  No photos available.
11563,F,437324,9,533439,6070768,4.0,0,,14726,Falls in reach 1.  No photos available.
11566,F,437348,9,533090,6070932,5.0,,,14744,Falls downstream in reach 10; barrier.
11569,F,437359,9,538825,6076257,4.0,1,,14749,"No photo taken, canyon section, barrier to fish."
12008,F,442925,11,606295,5571715,3.0,,,14892,Falls
12011,F,442931,11,606176,5571667,4.0,,,14892,falls
12014,F,442955,11,603340,5583902,2.0,,,14901,fish barrier
12016,F,443194,11,508753,5593668,2.5,,,14904,Falls
12026,F,444806,11,478047,5492545,2.0,2,,14943,Up stream view of falls
12033,F,444840,11,472383,5495131,2.5,3,,14954,Falls-Barrier
12034,F,444847,11,472093,5495909,4.5,9,,14957,Upstream photo
12035,F,444849,11,472088,5496025,4.8,7,,14957,Upstream photo
12041,F,444871,11,506131,5542241,2.0,,,14962,Fish barrier
12047,F,447479,9,678499,6072594,1.0,,,14977,barrier to upstream fish migration
12054,F,447514,9,644901,6067898,3.0,1,,14996,barrier to fish
12058,F,447527,9,651934,6072999,4.0,,,15001,barrier
12059,F,447529,9,651834,6073033,6.0,,,15001,barrier
12063,F,447545,9,653083,6071926,12.0,1,,15008,
12068,F,447572,9,650163,6063416,4.0,,,15025,4m Falls
12079,F,447623,9,653607,6068574,3.0,,,15053,upper falls
12080,F,447625,9,653698,6068649,6.0,,,15053,lower falls
12517,F,452324,11,592969,5581206,,,259049,,Identified on air photo.
12524,F,452454,11,582627,5600997,,,259107,,Identified on air photo.
12562,F,452836,11,595626,5583288,1.8,,259260,,Interior 1997.
12564,F,452842,11,595581,5583250,2.0,,259261,,Interior 1997.
12565,F,452858,11,593894,5581893,,,259268,,Identified on air photo.
12566,F,452866,11,594111,5582835,,,259271,,Identified on air photo.
12577,F,453116,11,582480,5601698,,,259385,,Identified on air photo.
12578,F,453142,11,581702,5603684,,,259397,,Identified on air photo.
12604,F,453334,11,588645,5588128,,,259472,,Identified on air photo.
12612,D,453528,11,593000,5591261,,,259561,,Interior 1997.
12651,F,453768,11,588588,5599224,1.0,,259642,,Interior 1997.
12672,F,453856,11,584847,5598741,,,259665,,Identified on air photo.
12674,F,453866,11,584849,5598241,,,259668,,Identified on air photo.
12675,F,453868,11,584939,5598059,,,259668,,Trim anomoly.  No channel mapped.  Identified on air photo.
12687,F,453976,11,585693,5604109,1.0,,259710,,Interior 1997.
12694,D,453994,11,585449,5603480,,,259712,,Channel diversion presumably for cattle watering.
12720,D,454132,11,582202,5607331,,,259755,,Interior 1997.
12738,F,454202,11,595457,5583152,1.1,0,,15216,Boulder block falls.
12744,F,454235,11,590933,5595407,1.3,0,,15236,
12759,F,454277,11,585138,5605667,1.1,0,,15249,At 895 m u/s
12819,F,458337,,,,35.0,100,261712,,Series of cascades and falls.  U/s limit of fish bearing
12820,F,458890,11,345454,5827706,10.0,,,15471,aerial view.  U/s end of fish migration
12830,F,458941,11,346175,5827440,4.0,,,15502,270 u/s of confluence
12831,F,458944,11,346248,5826761,10.0,,,15503,
12832,F,458952,11,345607,5827480,3.0,,,15509,70m u/s of confluence
12833,F,458955,11,345519,5827257,6.0,,,15510,440m u/s from confluence
12835,F,458966,11,340895,5828258,30.0,,,15517,representative
12836,F,458968,11,340966,5828249,8.0,,,15517,d/s end of reach
12837,F,458975,11,352272,5798336,1.8,,,15522,possible barrier
12838,F,458977,11,352392,5798264,20.0,,,15522,barrier - series of falls
12840,F,458981,11,352666,5798095,10.0,10,,15522,Falls above bridge
12841,F,458983,11,352588,5798143,15.0,4,,15522,Falls below bridge
12842,F,458985,11,352151,5798418,24.0,,,15522,picture didn't turn out
12846,F,459035,9,612201,5612948,5.0,,262004,,Historical data - March 1997 FHAP done by M. Potyrala.
12849,D,459201,9,630368,5598089,1.0,1,262084,,Earth dam (not man made) with 20m long pond u/s located 356m u/s of site 80.
12852,F,459769,9,629964,5596022,4.0,,262365,,"Historical Info.  Pat Slaney (UBC Fisheries section) indicated that this falls exists and that it is passable by SK, CO, ST and DV"
12855,F,459829,9,612726,5612852,3.0,,262392,,"Historical data - from March 1997 FHAP done by M. Potyrala.  This report indicates that this falls is the upstream limit to CO, ST, DV, PK."
12860,F,459921,9,617103,5611394,1.0,,262433,,Historical Data - from March 1997 FHAP by M. Potyrala.  Will confirm and photograph during 2001 sampling.
12885,D,460444,9,629866,5598162,0.5,1,,15537,Water percolates  through earth dam (not man made).  Unconfined pond u/s.  82m u/s of POC.
12887,F,460456,9,628946,5598026,2.0,,,15545,2m high falls at the confluence with th eKeogh River is a potential barrier to fish.
12915,F,460562,9,625339,5597391,1.5,,,15595,falls over boulders is a barrier.
12917,F,460574,9,626424,5599560,2.8,3,,15603,barrier falls.
12921,F,460586,9,627795,5596377,2.5,4,,15607,20m u/s W107
12922,F,460592,9,626474,5594661,6.0,10,,15611,On d/s side of K1800 bridge.
12991,F,463269,,,,,,,15874,Series of cascades and waterfalls downstream of Reach 5.
12994,F,463636,11,418886,5554611,4.8,0,,15897,Upstream migration barrier 130m above mouth.
13179,F,467049,11,587377,5604529,3.0,,266462,,Possible upstream limit of BT in Cochran Ck.
13180,F,467053,11,587820,5604819,3.0,,266463,,Height estimated from helicopter.  Upstream limit for BT.
13185,F,467117,11,593256,5604643,30.0,,266490,,"Bedrock falls, impassable."
13194,F,467383,11,595369,5609031,30.0,,,16105,No possible fish passage.
13200,F,293182,10,538514,5931403,2.1,,,16161,"FALLS, PICTURES 12 AND 13 AS WELL"
13203,F,293252,10,536472,5934537,3.0,,,16178,"TOP HALF OF THE FALLS, PHOTOS 8 AND 9 AS WELL"
13205,D,471926,11,573012,5598802,1.0,,269009,,1.0m dam.
13206,F,471928,11,572778,5598689,1.5,,269009,,1.5m falls.
13210,D,472078,11,575127,5592173,5.0,,269080,,Concrete dam above cascade. Impassable barrier.
13213,F,472356,11,571648,5602489,1.4,,,16188,Impassable falls.
13215,F,472360,11,571591,5602426,1.5,,,16188,Impassable falls.
13216,F,472362,11,571616,5602452,1.7,,,16188,Impassable falls.
13217,F,472364,11,571676,5602521,2.2,,,16188,Impassable falls.
13219,F,472380,11,577372,5602229,1.5,,,16194,Bedrock falls are probable barrier.
13223,F,472426,11,582885,5591975,1.0,,,16213,"Total barrier, as there is no pool at base."
