stream_crossing_id,watershed_group_code,updated_barrier_result_code,reviewer,notes
123537,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123538,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123539,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123541,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123548,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123550,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123553,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123763,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123798,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123804,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124163,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124168,BULK,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
124180,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124181,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124182,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124184,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124185,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124203,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124285,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
124287,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124291,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124292,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124445,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
195220,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195294,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
195325,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195326,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195327,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195331,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195335,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195336,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195337,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195338,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195345,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195348,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195349,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195355,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195364,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195369,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195374,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195375,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195376,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195511,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
195528,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
50062,ELKR,PASSABLE,CWF,based on assessment comments (and imagery review where required)
50063,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50064,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50067,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50068,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50069,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50072,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50077,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50081,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50084,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50085,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50086,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50090,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50091,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50093,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50095,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50097,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50099,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50100,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50101,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50102,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50103,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50104,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50105,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50106,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50107,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50110,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50115,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50124,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50137,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50152,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50153,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50155,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50159,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50160,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50177,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50181,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50187,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50189,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50190,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50193,ELKR,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
50194,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50195,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50196,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50202,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50207,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50211,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50213,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50214,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50217,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50218,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50219,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50225,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50226,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50228,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50230,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50234,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50235,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50236,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50240,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50243,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50244,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50246,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50249,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50250,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50252,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50255,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50260,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50261,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50265,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50266,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50268,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50269,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50270,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50272,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50273,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50274,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
50276,ELKR,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
50277,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
51146,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
62417,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
103043,ELKR,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
103044,ELKR,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
103057,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
103058,ELKR,BARRIER,CWF,based on assessment comments (and imagery review where required)
112340,ELKR,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
112341,ELKR,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
6532,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57102,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57104,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57105,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57106,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57107,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57108,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57109,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57110,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57111,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57123,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57124,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57125,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57126,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57127,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57131,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57132,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57135,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57136,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57137,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57164,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57166,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57170,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57173,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57182,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57222,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57223,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57234,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57235,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57238,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57240,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57241,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57244,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57246,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57247,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57250,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57251,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57253,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57256,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57257,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57258,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57262,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57268,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57269,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57279,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57299,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57305,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57306,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57307,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57313,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57314,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57318,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57319,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57322,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57324,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57326,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57327,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57340,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57355,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57370,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57371,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57372,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57416,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57459,HORS,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
57472,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57527,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57532,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
57558,HORS,POTENTIAL,CWF,based on assessment comments (and imagery review where required)
123823,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123827,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123828,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123831,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123836,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123838,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123841,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123855,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123856,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123859,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123860,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123861,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123863,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123864,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123865,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123866,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123889,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123894,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123898,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123900,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123903,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123908,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123949,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123953,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124111,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124320,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124354,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124356,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
124360,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
125900,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
125903,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
125938,HORS,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
126586,HORS,BARRIER,CWF,based on assessment comments (and imagery review where required)
197030,LNIC,BARRIER,CWF,based on assessment comments (and imagery review where required)
197038,LNIC,BARRIER,CWF,based on assessment comments (and imagery review where required)
3050,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
3067,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
3077,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
3138,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
3142,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
3143,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57760,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57761,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57763,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57764,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57766,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57767,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57768,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57774,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57776,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57777,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57779,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57790,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57791,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57794,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57799,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57812,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57815,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57820,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57823,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57840,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57841,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57842,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57853,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57854,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57857,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57858,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57867,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57868,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57877,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57881,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57889,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57890,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57891,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57893,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57895,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57897,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57901,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57902,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57903,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57904,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57905,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57906,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57907,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57908,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57909,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57910,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57918,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57920,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57928,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57932,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57938,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57939,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57951,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57957,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57961,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57963,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57965,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57980,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57993,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57994,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57995,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57996,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57998,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
57999,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58000,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58001,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58003,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
58005,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58009,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58010,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58012,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58022,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58023,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58024,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58025,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58026,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58029,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58034,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58037,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58038,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
58039,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
58041,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
58044,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58048,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58049,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58052,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58053,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
58054,BULK,PASSABLE,CWF,based on assessment comments (and imagery review where required)
