blue_line_key,downstream_route_measure,barrier_ind,watershed_group_code,reviewer,notes
360886269,0,F,BABL,BR,This point is in the wrong location. Falls reference document 1 says falls is 23 m tall located 3.2 km upstream from mouth (DFO Catalogue of Salmon Streams). Second reference (lakes inventory) notes a 20 ft falls 1 mile and 2 miles downstream from Camsell Lake in approx location of falls 4061560 and 4062768.
360870390,3255,F,BABR,BR,No falls on record. Inconclusive - only fish records are through RAB database
360864582,11540,F,KLUM,BR,Falls is located farther north from 430-523000-60300-55200 tributary where salmon point is in HabitatWizard. Chinook point in this tributary references a document that states there are no fish in this stream however.
360887399,34311,F,LSKE,BR,Reference points for salmon are RAB surveys so can't verify. Falls reference is supposedly Catalogue of Salmon Streams….Lower Skeena. There is no mention of a falls in document and document notes salmon distributed throughout system. Remove falls
356355229,0,F,MORK,BR,Falls reference is a pers comm from DFO. May not be in the correct spot. Chinook point in Everett Ck should be 500 m upstream from mouth. This is the upstream-most place where Chinook were found in the reference study. Study notes rapids with no resting places at the downstream end of the creek.
360504144,148,F,MORR,BR,"Reference report notes that lower 20 m of stream only is fish-bearing. Coho point should be in side channel of mainstem Nanika at 9U 601391, 598269 (note coordinate is not a typo - consultant only reports northing to 6 digits for some reason"
360882037,22015,F,MORR,BR,"Falls reference does not show a falls in this location. There is mention of an impassable falls 5 km upstream of Starr Creek confluence, but not downstream. The only other falls mentioned is a 2 m falls located 100 m downstream from stream TH52. TH52 location is not provided, but TH 53 and TH51 are both several kms upstream of Starr Creek confluence. Other references seem to confirm anadromous fish presence upstream of this point, and aerial photos of the mouth of Denys Creek do not show any falls on the Thautil mainstem."
360740192,31,F,MSKE,BR,Chinook point is correct. 8 m falls should be approx 400 m upstream from mouth on 400-614500
356363034,13,F,NARC,BR,Same falls number on map twice. Reference document note that The distribution of Chinook is limited to below the 5 meter falls located approximately 200 m upstream from the confluence with Narcosoli Creek. Second reference document seems to be a transferred FISS point and likely inaccurate. Downstream falls point is likely incorrect. Upstream falls point should have no Chinook upstream.
356336020,1201,F,USHU,BR,reference document notes falls 100 m from road restricting fish passage UTM 11 378200 5599300 as location of 10 m falls. Coho point should also be located here remove upstream point.
360842858,0,F,ZYMO,BR,Several fish studies indicate that this falls is not a barrier. Note of a 2 m falls that is passable have been mentioned but none that are 15 m high. Change falls height
356353731,1598,F,TAKL,BR,No falls in reference document. Falls do not exist. Known anadromous river. Falls can be removed.
356363010,23160,F,CARR,BR,Only 1 of 2 references to falls could be verified. Reference makes no mention of falls in Cariboo River but notes several falls in lower 1/8 mile of Six Mile Creek. Likely meant to be snapped to Six Mile
356363594,10728,F,BONP,BR,Falls do not exist here - reference document only notes the falls with fishway 2.6 km upstream from mouth.
356363594,3604,F,BONP,BR,Bonaparte Fishway allows anadromous passage beyond this point
360873822,67,F,KISP,BR,Reference document for falls only makes mention of Moricetown falls near Moricetown. This falls is an error and can be removed.
360880688,30928,F,SUST,BR,No falls on record in this location. None visible on satellite imagery. Can be removed.
