barrier_type,barrier_name,blue_line_key,downstream_route_measure,watershed_group_code,reviewer_name,review_date,source,notes
MISC,Intermittent barrier on trib 3 South of Horsefly River,356083394,56,HORS,SH,2021-01-01,CWF WCRP,Dry/intermittent
MISC,Intermittent barrier on trib west of Black Creek,356193013,357,HORS,SH,2021-01-01,CWF WCRP,Unlikely to be fish bearing
MISC,Intermittent barrier near Starlike Lake Road,356029579,169,HORS,SH,2021-01-01,CWF WCRP,Dry/intermittent
MISC,Intermittent barrier on trib to Moffat Creek,356327400,288,HORS,SH,2021-01-01,CWF WCRP,"Unlikley to be fish bearing, intermittent, poor habitat value"
MISC,Intermittent barrier on trib to Horsefly River,356243886,58,HORS,SH,2021-01-01,CWF WCRP,"Unlikely fish bearing, industrial zone"
MISC,Spillway,356553439,574,ELKR,NJO,2021-01-01,CWF WCRP,Barrier seperating genetically distinct populations
MISC,Spillway,356560765,2935,ELKR,NJO,2021-01-01,CWF WCRP,Drainage pond blocking passage
MISC,Cascade/chute,356363278,1000,HORS,BR,2021-01-01,CWF WCRP,Natural bedrock chute that is blocking passage
MISC,,360751655,132,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360775623,2302,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356361185,323,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356304093,1367,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356241961,1372,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356066576,1148,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356305449,6612,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356173512,242,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356215324,2473,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356337341,1075,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356280455,225,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356014633,261,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356353781,1130,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360808339,1103,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360733936,1922,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360866193,196,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360319859,589,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360573132,334,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360573132,327,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360846531,99,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360429886,161,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360764306,597,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360534240,1101,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360508998,71,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360851725,4976,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360309022,480,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360810072,583,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360713339,109,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360767820,606,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360531605,78,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360745589,473,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360617043,1082,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360312720,797,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360880639,14948,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360693809,501,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360656505,1303,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360598802,343,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360535660,250,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360812680,2406,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360504982,976,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360836743,272,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360809609,648,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360467487,3264,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360376582,1350,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360772470,6904,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360681413,104,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360817583,176,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360284682,708,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360749101,579,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360560569,428,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360804808,118,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360283346,208,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360738487,1288,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360667498,91,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360850066,1127,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360808295,2405,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360812680,2472,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356283760,1931,LNIC,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360694582,505,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360694582,175,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360803172,437,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360501968,458,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360701673,1105,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360759444,2825,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360855407,2061,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360855407,1757,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360253115,354,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360250986,648,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360571834,649,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360745485,646,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360772103,815,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360730042,3003,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360772103,739,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360638045,480,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360638045,886,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360634494,2165,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360822214,819,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360653802,2708,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360570669,2792,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360657329,1677,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360324071,1794,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360352939,1230,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360351832,751,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360366018,1210,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356283760,3475,LNIC,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356305938,110,LNIC,NMW,2021-01-01,CWF WCRP,Manual review
MISC,,356210959,19,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356511066,113,ELKR,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356318429,4445,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356043120,496,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356322947,4831,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356356363,7655,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356034338,940,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356123277,801,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356264868,983,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356257355,481,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356230360,4736,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356045902,444,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356018854,776,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356290815,248,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356110590,1198,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356319131,963,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356280374,436,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356220940,325,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356134158,689,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356134158,865,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356143060,238,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356316305,1507,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356190766,1411,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356227870,976,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356024908,452,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356361185,3503,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356313135,2170,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356284623,220,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356357017,9122,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356267883,248,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356296432,117,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356299310,79,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356201232,1576,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356271855,232,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360618119,629,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356127793,544,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356218350,114,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356214764,393,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356092273,251,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356202640,329,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356210705,1747,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356190766,1480,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356225472,615,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356136375,245,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356271870,1768,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356318485,885,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356350484,1116,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360249635,148,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356333171,2944,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356315653,556,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356304093,1827,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356295655,315,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356280688,336,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356104114,1126,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360734295,2323,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360481375,56,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360573383,1387,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360532578,471,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360652527,0,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360772470,7310,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360339272,794,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360432885,83,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360752292,1082,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360734295,2105,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360734295,1806,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360782090,4025,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360736668,4775,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,360744894,3683,BULK,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356341907,34,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356355098,476,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356310717,1452,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356558963,72,ELKR,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356473613,493,ELKR,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356554605,270,ELKR,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356316631,70,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356362359,165,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356203898,139,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356079378,114,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356362359,1125,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356034240,9,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356208770,148,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356270876,993,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356043120,138,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356272856,90,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356131741,452,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356294881,7042,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356091688,293,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356323361,3806,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356128458,864,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356304257,214,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356214109,191,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356163587,1236,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356264833,1716,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356298682,3005,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356074640,281,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356134158,239,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356107214,1058,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356353303,724,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356239384,169,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356239384,262,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356168402,261,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356205140,322,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356222216,173,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356211997,5398,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356277513,2984,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356304713,4995,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356304713,5207,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356322947,4749,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356308822,2607,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356210700,2723,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356264719,3310,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
MISC,,356255112,2014,HORS,CWF,2021-01-01,CWF WCRP,based on assessment comments (and imagery review where required)
