column,type,description
``access_cm``,`integer`,Chum accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_co``,`integer`,Coho accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_pk``,`integer`,Pink accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_sk``,`integer`,Sockeye accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_st``,`integer`,Steelhead accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_wct``,`integer`,West Slope Cutthroat Trout accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``access_salmon``,`integer`,Pacific Salmon (all): accessibility model: -9=not modelled; 0=natural barrier downstream; 1=modelled accessible; 2=observed accessible
``spawning_bt``,`integer`,Bull Trout spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_ch``,`integer`,Chinook spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_cm``,`integer`,Chum spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_co``,`integer`,Coho spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_pk``,`integer`,Pink spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_sk``,`integer`,Sockeye spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_st``,`integer`,Steelhead spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``spawning_wct``,`integer`,West Slope Cutthroat Trout spawning model: -9=not modelled; -1=known non spawning; 0=non spawning; 1=modelled spawning; 2=modelled and observed spawning; 3=observed spawning (not modelled)
``rearing_bt``,`integer`,Bull Trout rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``rearing_ch``,`integer`,Chinook rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``rearing_co``,`integer`,Coho rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``rearing_sk``,`integer`,Sockeye rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``rearing_st``,`integer`,Steelhead rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``rearing_wct``,`integer`,West Slope Cutthroat rearing model: -9=not modelled; -1=known non rearing; 0=non rearing; 1=modelled rearing; 2=modelled and observed rearing; 3=observed rearing (not modelled)
``mapping_code_bt``,`text`,Stream mapping code for Bull Trout: a string indicating: model output/downstream barrier status/stream type
``mapping_code_ch``,`text`,Stream mapping code for Chinook: a string indicating: model output/downstream barrier status/stream type
``mapping_code_cm``,`text`,Stream mapping code for Chum: a string indicating: model output/downstream barrier status/stream type
``mapping_code_co``,`text`,Stream mapping code for Coho: a string indicating: model output/downstream barrier status/stream type
``mapping_code_pk``,`text`,Stream mapping code for Pink: a string indicating: model output/downstream barrier status/stream type
``mapping_code_sk``,`text`,Stream mapping code for Sockeye: a string indicating: model output/downstream barrier status/stream type
``mapping_code_st``,`text`,Stream mapping code for Steelhead: a string indicating: model output/downstream barrier status/stream type
``mapping_code_wct``,`text`,Stream mapping code for West Slope Cutthroat Trout: a string indicating: model output/downstream barrier status/stream type
``mapping_code_salmon``,`text`,Stream mapping code for Pacific Salmon (all): a string indicating: model output/downstream barrier status/stream type
``geom``,"`geometry(LineStringZM, 3005)`",Feature geometry
